person_id,wiki_id,pages,ref,vol
i-EzhmCmNyKREE4AaqdncvAo,Q1037831,140,http://www.wikidata.org/entity/Q110346241,1
i-HSP9LioPctrDbuGfZ5P4G,Q1039038,340,http://www.wikidata.org/entity/Q110346241,4
i-4p8JokQcmoPFNWL1uSASiw,Q104836509,459,http://www.wikidata.org/entity/Q110346241,1
i-PFAPNmRqeUAaxDzNRTG1x1,Q104839950,388,http://www.wikidata.org/entity/Q110346241,1
i-KUavj3naU1jTnq3RDnaNqe,Q104841633,55,http://www.wikidata.org/entity/Q111443541,2
i-MaRHnNmw2sqAFYBugWDAH2,Q104842860,46,http://www.wikidata.org/entity/Q110346241,3
i-GFvhnYSfU7uMwMyEbzcgSz,Q104845055,69,http://www.wikidata.org/entity/Q110346241,4
i-TuUeRRRStfRtd42Mi2VQ3H,Q104845813,261,http://www.wikidata.org/entity/Q110346241,4
i-Wmqf7ntDge1sjwuTqYDRCN,Q104850932,322,http://www.wikidata.org/entity/Q110346241,4
i-GqLJiLj3ZWmFCVw4KJoTtW,Q104851791,410,http://www.wikidata.org/entity/Q110346241,4
i-ArBoKHFxXfA2rh9Sm2XzUy,Q104864916,421,http://www.wikidata.org/entity/Q110346241,4
i-3eaJwNQpWabbVs3LUTGotQ,Q104869831,370,http://www.wikidata.org/entity/Q110346241,5
i-GGQnyd4FBYAVAPfMuLn9Di,Q104874870,144,http://www.wikidata.org/entity/Q111443541,2
i-CaReJU7GckAgFwH9eRz9J,Q104889258,292,http://www.wikidata.org/entity/Q110346241,3
i-2U4y4kpuQrcdDAWFBSNkPp,Q104889673,277,http://www.wikidata.org/entity/Q110346241,4
i-8ZNJWsBMhAczaaMoTcJqRT,Q104889739,248,http://www.wikidata.org/entity/Q110346241,4
i-CiCVc1arZNK5WGUQmfSttX,Q104904121,412,http://www.wikidata.org/entity/Q110346241,4
i-Bv85PfPyP6Kza9FMou862E,Q104904307,396,http://www.wikidata.org/entity/Q110346241,4
i-QmLKNXtwqmNui98eTHpcAk,Q104919050,268,http://www.wikidata.org/entity/Q110346241,4
i-FCx1vSp3maaCJRjsYNbHqo,Q104919428,422,http://www.wikidata.org/entity/Q110346241,4
i-RgWU8wCMwYhCpZW9xhMn6,Q104922412,428,http://www.wikidata.org/entity/Q111443541,1
i-9kQEhG7b4RhJm3feAQj7DQ,Q104923362,265,http://www.wikidata.org/entity/Q110346241,5
i-WQdu6MraZKg46K4qVrG243,Q105025768,210,http://www.wikidata.org/entity/Q110346241,5
i-Sov3qVGpNxDDTnN6woghFD,Q105044672,74,http://www.wikidata.org/entity/Q110346241,4
i-5Ub3LuYesBZ5wA22h31n8L,Q105044768,510,http://www.wikidata.org/entity/Q110346241,4
i-DALrnQJRfAh9VdHWZSTBni,Q105044852,51,http://www.wikidata.org/entity/Q110346241,5
i-PL9foi7u1XAv2BD9jUwAWg,Q105046913,53,http://www.wikidata.org/entity/Q110346241,3
i-DtUBL4PhS8MGp9QnAiAJc7,Q105046955,432,http://www.wikidata.org/entity/Q110346241,4
i-6nnq6i6hYmHD6etGxdm9Wy,Q105063875,118,http://www.wikidata.org/entity/Q110346241,4
i-C1fZBCKUGy1gZCDs8Cfrc6,Q105065199,207,http://www.wikidata.org/entity/Q110346241,5
i-YWq3i8pzd2ek446XvasGri,Q105067206,95,http://www.wikidata.org/entity/Q110346241,2
i-LvjhuKYbMmHcis45oX7W1G,Q105072927,164,http://www.wikidata.org/entity/Q110346241,4
i-5u9D97HkMoFCMxfWkAsxz3,Q105086267,154,http://www.wikidata.org/entity/Q111443541,2
i-Wt1hk6ZngbTgyJCGcHAvrf,Q105086918,155,http://www.wikidata.org/entity/Q110346241,2
i-7UsBEyMpFeJWgxAYKRQiVz,Q105098800,123,http://www.wikidata.org/entity/Q110346241,3
i-GmVk7Pj9JRW6GYkwiSkryS,Q105104304,228,http://www.wikidata.org/entity/Q110346241,3
i-2VJazsFcETvv2ViUi5KBHJ,Q105105468,238,http://www.wikidata.org/entity/Q110346241,3
i-SzGpydBwUGiTw3GWcPrafZ,Q105162147,365,http://www.wikidata.org/entity/Q110346241,1
i-3DCxazQKgys5aVEbkoNgyR,Q105162968,358,http://www.wikidata.org/entity/Q110346241,5
i-HWWVGZcUSaZGHGdRYcnTju,Q1291317,265,http://www.wikidata.org/entity/Q110346241,2
i-TgKU3mVVQLPLhPjqaqreFk,Q1360952,348,http://www.wikidata.org/entity/Q111443541,2
i-EiDyMSrxvZFP6tHgQcgkmN,Q15956417,152,http://www.wikidata.org/entity/Q110346241,1
i-9ZJEdfip5n7qwmSL2BfYSA,Q16649165,315,http://www.wikidata.org/entity/Q110346241,4
i-2gVYhZWa58g5m2RXWT7M2K,Q19380449,105,http://www.wikidata.org/entity/Q110346241,4
i-BE5heMiSWyuLnMtuoSP5Up,Q23988424,100,http://www.wikidata.org/entity/Q110346241,2
i-Ny7BBxNq5BQZ7g1mbWQpy4,Q24018260,280,http://www.wikidata.org/entity/Q110346241,3
i-PvmRtpcbCFZUzDWPspA4m,Q2575378,189,http://www.wikidata.org/entity/Q110346241,2
i-2ehtmACUZPNJMNnS5o3dYB,Q2944347,415,http://www.wikidata.org/entity/Q110346241,4
i-7b4dYVJhQNDZvhFY8Qawzv,Q30230024,303,http://www.wikidata.org/entity/Q111443541,1
i-Wi7xtB3duZcyBYa4p5mg7Q,Q330545,76,http://www.wikidata.org/entity/Q110346241,1
i-LCcpUNpbfh4oCj9DbmSZS3,Q343674,327,http://www.wikidata.org/entity/Q110346241,1
i-9J6rjw3utcJATqZ2vfEqtx,Q369044,132,http://www.wikidata.org/entity/Q110346241,1
i-JcqbjeL3j68iUaniGTTyRL,Q4069879,261,http://www.wikidata.org/entity/Q110346241,2
i-PtsTMJHPswghTmmMKTnTZb,Q4218935,119,http://www.wikidata.org/entity/Q110346241,1
i-Ua6jBZgmBCS3WRXmBi5hK9,Q432129,142,http://www.wikidata.org/entity/Q110346241,4
i-ApHmSnfxK7X5tAzqwJM3Ve,Q4353611,108,http://www.wikidata.org/entity/Q110346241,1
i-NtZkf2mFJXvC9PJ1aMWzTd,Q4547462,431,http://www.wikidata.org/entity/Q110346241,5
i-Zq5Y9UAAqJMQEuP9CRuss,Q48704901,80,http://www.wikidata.org/entity/Q110346241,3
i-CKE7aDduHCi2h4vSdJ8r3f,Q4993034,241,http://www.wikidata.org/entity/Q110346241,5
i-5qszfgKS7QHsLT7G8hvPkK,Q520594,182,http://www.wikidata.org/entity/Q110346241,3
i-QW5W2LNiETVn7C6pxUPTUU,Q525663,442,http://www.wikidata.org/entity/Q110346241,4
i-DZAnqjUMmj8qFZsvGfjxRv,Q52956,241,http://www.wikidata.org/entity/Q110346241,2
i-DdpGurNSK1gsC7JXZ7kFDP,Q52960,62,http://www.wikidata.org/entity/Q110346241,1
i-FhLSLTTgMvsYGQ25DUwcvz,Q52969,70,http://www.wikidata.org/entity/Q110346241,3
i-ExQ7iYJ23FD6ip4JCvWQQA,Q5541307,419,http://www.wikidata.org/entity/Q110346241,1
i-KZYXbtWhBkb38SRbAoL2Mn,Q5542625,43,http://www.wikidata.org/entity/Q110346241,2
i-NjP1xjERFHKgSe8SCzjx72,Q5542896,379,http://www.wikidata.org/entity/Q110346241,4
i-L9x9NkF1idfQrSZjXw8xc1,Q5544294,183,http://www.wikidata.org/entity/Q110346241,3
i-NYZezSxBgjPTPYNgjDJ97Z,Q5547315,54,http://www.wikidata.org/entity/Q110346241,4
i-wVG4QF5ZkrTTo5uHxD7ED,Q5547641,218,http://www.wikidata.org/entity/Q110346241,1
i-HaF5q92oQDHP1ddwWQQoVv,Q5548121,419,http://www.wikidata.org/entity/Q110346241,1
i-Rhdqesan8FWyp9RChACHAZ,Q5548860,103,http://www.wikidata.org/entity/Q110346241,3
i-3okN64m9y63KYdwdoN53t3,Q5552429,338,http://www.wikidata.org/entity/Q110346241,5
i-FCiENqoUbHX3BSFketWBxb,Q5552491,399,http://www.wikidata.org/entity/Q110346241,5
i-P7LkEj4bM3m8g8mZpPMrRi,Q5553568,420,http://www.wikidata.org/entity/Q110346241,1
i-CTcLzM4zKUFTMMReYZVn2H,Q5553576,298,http://www.wikidata.org/entity/Q110346241,1
i-DgHXCqSBg6qSwLFdwpyqAj,Q5553920,119,http://www.wikidata.org/entity/Q110346241,5
i-KS58so6H4M5bMSPJdwHVFU,Q5553934,202,http://www.wikidata.org/entity/Q110346241,5
i-6b6J34opG3URWRMtHCcLDK,Q5553949,302,http://www.wikidata.org/entity/Q110346241,4
i-8j82sF4GCnjMnUGPxpkSC1,Q5553978,139,http://www.wikidata.org/entity/Q110346241,2
i-B4nc1rYu6gqhHmUqKRJTib,Q5554287,302,http://www.wikidata.org/entity/Q110346241,4
i-YXxhr3tCC3W3FsmnrRDwqv,Q5554629,46,http://www.wikidata.org/entity/Q110346241,2
i-LfLGkLjh2Uo92JoPR3j5qT,Q5554635,202,http://www.wikidata.org/entity/Q110346241,4
i-SpE4p6y5t2Rpicx6uK8qTp,Q5554713,303,http://www.wikidata.org/entity/Q110346241,4
i-AAGtAmKub2DD5pa6CPqaxW,Q5554960,303,http://www.wikidata.org/entity/Q110346241,4
i-EUAjUsDS5Ei6t11ZAdx9dV,Q5554970,303,http://www.wikidata.org/entity/Q110346241,4
i-NUhYXK95cGgsUQKDX1AbRY,Q5554980,57,http://www.wikidata.org/entity/Q110346241,4
i-H4GvhyePmFmPxED8c5StVx,Q5554987,140,http://www.wikidata.org/entity/Q110346241,2
i-Gdqu4mLmf7kpjnNy3obPZy,Q5555069,382,http://www.wikidata.org/entity/Q110346241,2
i-FbsJjajC2NS2vEr6XTq5ft,Q5555267,367,http://www.wikidata.org/entity/Q110346241,2
i-8yrd8fXpNiYeshuJ9CBor8,Q5555276,472,http://www.wikidata.org/entity/Q110346241,4
i-PAHJzN9wsrWwnypt4CGE6R,Q5555287,379,http://www.wikidata.org/entity/Q110346241,4
i-77xsVL4yRqtqFFbpBtKz2Y,Q5555601,104,http://www.wikidata.org/entity/Q110346241,3
i-Q3rwdSjEPs6DvA6k1iNCbk,Q5555795,472,http://www.wikidata.org/entity/Q110346241,4
i-Ckf69izyjKSjoYe237pqQQ,Q5556691,59,http://www.wikidata.org/entity/Q110346241,4
i-R7nr8W1NgHvkYbSoRF5obS,Q5557028,368,http://www.wikidata.org/entity/Q110346241,2
i-GzcgHC81WecVydysZueFQ2,Q5558249,400,http://www.wikidata.org/entity/Q110346241,5
i-TUdAuBRD2QT6aWjwbkNrNd,Q5558321,59,http://www.wikidata.org/entity/Q110346241,4
i-RTJ2sRrztP2XUZ8kQQmGL8,Q5558924,361,http://www.wikidata.org/entity/Q110346241,1
i-D3DqCCyeLe2A7LE3SiSJFk,Q5561342,422,http://www.wikidata.org/entity/Q110346241,1
i-GfysFhkQarNccZNb2V5fjT,Q5563944,190,http://www.wikidata.org/entity/Q110346241,3
i-NqLemoQyCCUKJYxqL8AqiZ,Q5568408,206,http://www.wikidata.org/entity/Q110346241,5
i-JVCxUGEWB3wcv9bUXsEc9E,Q5568965,191,http://www.wikidata.org/entity/Q110346241,3
i-FoWwxKnaSfisnVY2AfH7M5,Q5568976,192,http://www.wikidata.org/entity/Q110346241,3
i-R4o4Concr8HsySCtR8ZFa3,Q5569835,123,http://www.wikidata.org/entity/Q110346241,5
i-43ePM4dk5fFKDKndkNTYar,Q5570504,208,http://www.wikidata.org/entity/Q110346241,4
i-87wR89GbzeMtEXt3vdo2gb,Q5571158,44,http://www.wikidata.org/entity/Q110346241,3
i-GQ1MJ8QjcAJESWYVppCm7s,Q5571405,208,http://www.wikidata.org/entity/Q110346241,4
i-PJwS8PheA9nrAASc36mgK8,Q5571913,207,http://www.wikidata.org/entity/Q110346241,5
i-27GnXLYmnvWWQ74zqN8XG1,Q5572511,123,http://www.wikidata.org/entity/Q110346241,5
i-R3ezo9eNq9173LWfrJPgK8,Q5572576,331,http://www.wikidata.org/entity/Q110346241,2
i-7Mn3sAoq9CusA9q6HjCYdB,Q5572792,404,http://www.wikidata.org/entity/Q110346241,5
i-YMW7m5mLJE5Xc4Y47opTBu,Q5572843,209,http://www.wikidata.org/entity/Q110346241,5
i-RZJXKJgx2MZuWarm2B1ryx,Q5572872,209,http://www.wikidata.org/entity/Q110346241,4
i-AFafkqp43qaf9gEGTZMMhQ,Q5573088,53,http://www.wikidata.org/entity/Q110346241,2
i-AFafkqp43qaf9gEGTZMMhQ,Q5573088,53,http://www.wikidata.org/entity/Q110346241,"Bergstedt i Skrukarp, Carl Fredrik"
i-X2XD7JrVM6rYB4vDf23Zsg,Q5573383,405,http://www.wikidata.org/entity/Q110346241,5
i-NbVtMbT3TLcJhJsLKu8B88,Q5573495,389,http://www.wikidata.org/entity/Q110346241,4
i-S8Uv1f9PBUkSY1GPGsvafE,Q5573548,60,http://www.wikidata.org/entity/Q110346241,1
i-xDu3FkTiXeCQiNXfMUQ3v,Q5573776,194,http://www.wikidata.org/entity/Q110346241,3
i-XFu1gN89bz1x4j7roDrxFs,Q5574112,224,http://www.wikidata.org/entity/Q110346241,1
i-2WwYPDGc9GytdbLU7PEMF8,Q5575098,341,http://www.wikidata.org/entity/Q110346241,5
i-XaiyQJ3qwYoTtdwFETFt9R,Q5576219,63,http://www.wikidata.org/entity/Q110346241,4
i-B2pG9UoeZowv3W1y4urFYy,Q5576225,195,http://www.wikidata.org/entity/Q110346241,3
i-QSYHiJ6G54WwZYYDpVnD4u,Q5577408,54,http://www.wikidata.org/entity/Q110346241,4
i-DBdcSTUVm4sJQbDkngaUb3,Q5577465,64,http://www.wikidata.org/entity/Q110346241,4
i-KtG9MZoKix4XYo4sC4WsUP,Q5577503,210,http://www.wikidata.org/entity/Q110346241,5
i-Uor6aEDsmrKc11vdciV6Xq,Q5577709,308,http://www.wikidata.org/entity/Q110346241,4
i-7K8Y7ew39MFUUo47dmSLSh,Q5578212,63,http://www.wikidata.org/entity/Q110346241,1
i-Pg1UH24brFgKCM8CVnjJ3T,Q5578369,263,http://www.wikidata.org/entity/Q111443541,2
i-NRL4ihTDbU85MZraYMoTJm,Q5579445,211,http://www.wikidata.org/entity/Q110346241,5
i-P9nLyGFtHFbJgFc7FvCGrD,Q5581167,302,http://www.wikidata.org/entity/Q110346241,1
i-WNhQVQrarTs8MLGmvRT2Gn,Q5581563,226,http://www.wikidata.org/entity/Q111443541,1
i-UeJRNggJuEPWXugGprtkrP,Q5581616,264,http://www.wikidata.org/entity/Q110346241,2
i-QCgdixScKoSHeN5oNtiVxs,Q5582374,226,http://www.wikidata.org/entity/Q111443541,1
i-Eh28M5AZY2tWhNydPzRYf3,Q5583240,211,http://www.wikidata.org/entity/Q110346241,5
i-CwvK3x6KLx1cCJkKX96jJz,Q5583930,426,http://www.wikidata.org/entity/Q110346241,1
i-PBEJiCDqE8eh8P4Tgw8kNj,Q5585253,476,http://www.wikidata.org/entity/Q110346241,4
i-H5pycNj6wdy4bmLN7bUSfN,Q5585291,67,http://www.wikidata.org/entity/Q110346241,4
i-KEtRFqLE6GYv678YXVhKHr,Q5585390,310,http://www.wikidata.org/entity/Q110346241,4
i-EirzkhdwfUoMhiGdb6EdVa,Q5587013,311,http://www.wikidata.org/entity/Q110346241,4
i-BNopNRTJ6yxtE9N9JcRvtW,Q5587179,125,http://www.wikidata.org/entity/Q110346241,5
i-ARhFvspt3bc1nQS2KaREWV,Q5587193,311,http://www.wikidata.org/entity/Q110346241,4
i-RBYWqRkwcPtB9EqGt2HLkT,Q5588185,373,http://www.wikidata.org/entity/Q111443541,2
i-77mVkUgB6xQBVi4V7iLMe1,Q5588217,125,http://www.wikidata.org/entity/Q110346241,5
i-A8WzRmo8WwUKmVmAJX9cLc,Q5590169,56,http://www.wikidata.org/entity/Q111443541,2
i-WmTdAfV5HETvBJeXjPDkNq,Q5590200,477,http://www.wikidata.org/entity/Q110346241,4
i-Hj6mnAJTAmcqcCP3XSg2aA,Q5590424,212,http://www.wikidata.org/entity/Q110346241,5
i-MbYpLQfZtjn59wD9ia9qcL,Q5590427,408,http://www.wikidata.org/entity/Q110346241,5
i-PGGMhPVMnCH1MzSykNcAdQ,Q5590456,408,http://www.wikidata.org/entity/Q110346241,5
i-UEXiHG8yJw3xSwZJj9nrYw,Q5591595,364,http://www.wikidata.org/entity/Q111443541,1
i-PtFxkgp9UjThfCPgSkCSAR,Q5591891,447,http://www.wikidata.org/entity/Q110346241,4
i-RULRtbbfsrJBLYbatB6uqb,Q5594777,291,http://www.wikidata.org/entity/Q110346241,5
i-YKQ5ERUU94HdZVi11u4aDe,Q5596510,193,http://www.wikidata.org/entity/Q110346241,3
i-5Kw1QnMW7yfqbQdJjE1W1v,Q5596693,306,http://www.wikidata.org/entity/Q110346241,4
i-JQ3iHhsjVjcREq7gga63xL,Q5598486,110,http://www.wikidata.org/entity/Q110346241,3
i-TeDJE4iwbmVwANHpPtKXj6,Q5602525,70,http://www.wikidata.org/entity/Q110346241,4
i-6UTTeQdQrShANoTU16LaF3,Q5602669,111,http://www.wikidata.org/entity/Q110346241,3
i-Hk1GSUNr6iteSnX2ZuamZc,Q5603032,427,http://www.wikidata.org/entity/Q110346241,1
i-LuXD6bo7y9QvBg7xBKqETi,Q5603036,266,http://www.wikidata.org/entity/Q111443541,2
i-QWdnUEcGZTAPWcxPQaCnvn,Q5604477,267,http://www.wikidata.org/entity/Q110346241,2
i-YKF7QB8yGW7P6RHvdY3Qh2,Q5604537,478,http://www.wikidata.org/entity/Q110346241,4
i-WLyjFkwtat9HqVwhy6nBup,Q5605319,213,http://www.wikidata.org/entity/Q110346241,5
i-GoKZKTaCo6ooDaTyvNqahT,Q5605687,229,http://www.wikidata.org/entity/Q111443541,1
i-51TqsDXTPdgmp2Gv4hRTz4,Q5607471,215,http://www.wikidata.org/entity/Q110346241,4
i-UknG16aY6qkkjCqmhYdq9j,Q5612981,334,http://www.wikidata.org/entity/Q110346241,2
i-EjP2hRU7XWTbJVpFzgutfx,Q5613442,313,http://www.wikidata.org/entity/Q110346241,4
i-SzgTuuF6xsP3YYFjuHyjQ1,Q5613446,394,http://www.wikidata.org/entity/Q110346241,4
i-8BE1LLKcA4iJMrUNYQhnfM,Q5614019,375,http://www.wikidata.org/entity/Q110346241,2
i-MnTABRMH2GM4zTkF4PLkTf,Q5615454,395,http://www.wikidata.org/entity/Q110346241,4
i-F2ZGUJuWW6iUhgwMRj9q9y,Q5615490,216,http://www.wikidata.org/entity/Q110346241,4
i-VNhc7kVJhkCWCAK5XCdbTH,Q5616503,57,http://www.wikidata.org/entity/Q110346241,2
i-UysbHxCMeJV8ddBUKdgBwY,Q5618642,304,http://www.wikidata.org/entity/Q111443541,1
i-VnDXyA557kw3R1BEywHbjw,Q5618683,217,http://www.wikidata.org/entity/Q110346241,4
i-HkFSU3qgD4WDnG8LWPTtL1,Q5618783,114,http://www.wikidata.org/entity/Q110346241,3
i-PJBeSTQ9w73bwwYatiTwYp,Q5618788,114,http://www.wikidata.org/entity/Q110346241,3
i-TUcdPVCwA1wo5kK1FA9kqs,Q5621587,58,http://www.wikidata.org/entity/Q111443541,2
i-VC8M4GnTVfdRYSmtWPgcTd,Q5623312,213,http://www.wikidata.org/entity/Q110346241,5
i-6svbzCWXT4opXE5mCCPvkC,Q5627420,347,http://www.wikidata.org/entity/Q110346241,5
i-JbpZD6UR473GqjQRkeachX,Q5627432,478,http://www.wikidata.org/entity/Q110346241,4
i-81poFV7Wk8CN5TX1Wqm1gn,Q5628126,115,http://www.wikidata.org/entity/Q110346241,3
i-Pd4h8w97V3gTekGxSvebsQ,Q5628172,376,http://www.wikidata.org/entity/Q111443541,2
i-NaFhWaiMc52HPNdwF2XNnq,Q5629773,147,http://www.wikidata.org/entity/Q110346241,2
i-8xx95YKLjMC83YPJobGgTT,Q5629777,147,http://www.wikidata.org/entity/Q110346241,2
i-XTQdTTGwiQ9iKGjbQTfGYs,Q5629781,49,http://www.wikidata.org/entity/Q110346241,3
i-65rmwEXkkhA1kxSrD4oMUw,Q5630560,396,http://www.wikidata.org/entity/Q110346241,4
i-AmKppgrWPnLHER7xpP5Nar,Q5630690,79,http://www.wikidata.org/entity/Q110346241,4
i-SfLBYFycLvbfGx9i7chta5,Q5700991,74,http://www.wikidata.org/entity/Q110346241,4
i-2P8oL3AnBaUaam6G5cEkGw,Q5707382,79,http://www.wikidata.org/entity/Q110346241,4
i-PJvtkp2sUpKcdntrpjXwkE,Q5707498,148,http://www.wikidata.org/entity/Q110346241,2
i-EwMNfGWXSptE1i89f5to9e,Q5709446,78,http://www.wikidata.org/entity/Q110346241,1
i-H5w8iePXvnS6ELkjZJEWWQ,Q5711044,220,http://www.wikidata.org/entity/Q110346241,4
i-NnhYYoKk46XpcaL5skjzn9,Q5711531,118,http://www.wikidata.org/entity/Q110346241,3
i-7LiCmByQJSTk3ESw7CzerA,Q5715109,57,http://www.wikidata.org/entity/Q110346241,5
i-CwngYEDknGjbWVod4ccLBb,Q5715212,150,http://www.wikidata.org/entity/Q110346241,2
i-EZCiCL8zUah6zwB7Fi8kr3,Q5715226,481,http://www.wikidata.org/entity/Q110346241,4
i-TDcqGyzXni7Trv4F5XQtYf,Q5716309,398,http://www.wikidata.org/entity/Q110346241,4
i-W4CJfxFbP1nx9SYGRsnVHQ,Q5717143,296,http://www.wikidata.org/entity/Q110346241,5
i-HMKGf5h5zmx86ZzMrqUVof,Q5718504,367,http://www.wikidata.org/entity/Q110346241,1
i-LV9xnaSRGaErSW6nmQsQtX,Q5719647,82,http://www.wikidata.org/entity/Q110346241,4
i-BRuzd8mx5ZrcGFkpRPTNji,Q5719666,316,http://www.wikidata.org/entity/Q110346241,4
i-MujG24Zxtbj8WjsRLpNCE2,Q5721343,224,http://www.wikidata.org/entity/Q110346241,4
i-SGnYRjoHv9HP8rcbBo83EG,Q5721383,482,http://www.wikidata.org/entity/Q110346241,4
i-5VmM3A6gSWvKTiRoizdFQ1,Q5722752,272,http://www.wikidata.org/entity/Q110346241,2
i-69km2pwLBJWrtyvRcuiS3b,Q5723194,219,http://www.wikidata.org/entity/Q110346241,5
i-VH9wUBG7bNFMcYkdAPTofa,Q5724137,400,http://www.wikidata.org/entity/Q110346241,4
i-SuRNGcRwvJ2XwdRi9n3doA,Q5724289,401,http://www.wikidata.org/entity/Q110346241,4
i-DPSKuUhxasojZBK6nSTaFW,Q5724508,66,http://www.wikidata.org/entity/Q111443541,2
i-8hWjRvrqaLmhnrLHobBLNN,Q5724602,211,http://www.wikidata.org/entity/Q110346241,3
i-71vobmtRM8VayAVJKWNYrF,Q5726510,152,http://www.wikidata.org/entity/Q110346241,2
